Frame ID,QR ID,QR 2D,QR 3D
144,15,"[[277, 224], [351, 219], [358, 292], [284, 298]]","[2.084646497246672, -178.10454633025108, 0.5122722518287793, -4.381836501441353]"
145,15,"[[290, 224], [363, 219], [370, 291], [296, 297]]","[2.0950472454721654, -179.21872312366452, -0.35078123254944504, -4.569179934113189]"
146,15,"[[296, 223], [369, 219], [375, 291], [302, 296]]","[2.096945297758507, -177.85271641445127, 0.1362873762462308, -3.675299105003977]"
147,15,"[[319, 208], [391, 204], [398, 276], [325, 281]]","[2.0854392176925733, -176.81383054014444, 0.3580777093017776, -3.697402633883052]"
148,15,"[[323, 199], [396, 195], [402, 266], [329, 271]]","[2.1053145123426913, -178.57318678758733, -2.322326916618675, -4.156118974387942]"
149,15,"[[326, 192], [399, 186], [406, 257], [333, 263]]","[2.105055460611015, 179.88396970673944, -2.5146426120893697, -5.451369336868323]"
150,15,"[[340, 168], [412, 163], [419, 235], [347, 240]]","[2.1022651713457687, -176.73395634212278, -0.0023160831715683615, -4.21019887446536]"
151,15,"[[347, 161], [419, 156], [425, 229], [353, 234]]","[2.068005347966165, -177.63760497705306, 2.387654783976596, -3.5968366026516647]"
152,15,"[[348, 160], [420, 155], [426, 228], [353, 233]]","[2.0584244742030915, -179.0390879729808, 1.9947685704454212, -3.700708406276856]"
153,15,"[[344, 162], [417, 158], [422, 230], [350, 235]]","[2.0804066205860505, -178.25873411179163, 0.5427619154420018, -3.5760408370398853]"
154,15,"[[344, 168], [416, 164], [422, 236], [350, 241]]","[2.08471144034586, -177.1663215615531, 0.9945143025450867, -3.5336637706415654]"
155,15,"[[347, 175], [420, 171], [425, 243], [353, 247]]","[2.08663884133115, -177.60027904969863, -0.6224401429236955, -3.44455227738926]"
156,15,"[[344, 185], [416, 180], [422, 252], [349, 257]]","[2.070272063384128, -179.79953128095516, 0.33528478321680977, -4.084676379133307]"
157,15,"[[340, 187], [412, 183], [418, 255], [345, 259]]","[2.0850649971995656, -178.04551509127828, -0.455560964656375, -3.4794473917908224]"
158,15,"[[352, 179], [423, 176], [429, 247], [358, 252]]","[2.0953128414469155, -175.62518970349714, 1.2644625471824742, -3.0905652854233083]"
159,15,"[[373, 177], [445, 174], [450, 245], [379, 249]]","[2.090258639385539, -175.66248516665732, -0.9572881899954199, -3.0927152634279675]"
160,15,"[[418, 185], [488, 180], [495, 252], [425, 257]]","[2.0431381977849083, -173.25781874788507, 3.7494703265861293, -3.4137116998042107]"
161,15,"[[453, 184], [524, 181], [529, 252], [459, 257]]","[2.0249462655396497, -162.69131879275542, -23.32884679195699, -8.329195458109625]"
162,15,"[[459, 187], [530, 182], [535, 254], [464, 258]]","[2.012827485584883, -177.54805852796736, 1.9765918552120316, -3.3455443669250715]"
163,15,"[[478, 189], [548, 184], [554, 255], [484, 261]]","[2.0138323196699304, -175.86387635963536, 3.464088396579723, -3.8504718848668023]"
164,15,"[[487, 183], [557, 178], [563, 248], [493, 254]]","[2.0333345353779073, -177.34190937204866, 0.5864871113063624, -4.415770977539634]"
