Frame ID,QR ID,QR 2D,QR 3D
456,5,"[[574, 127], [597, 126], [599, 150], [576, 152]]","[3.3974166131338213, -179.5258022439544, 4.21328601237139, -4.423303670187336]"
457,5,"[[634, 125], [660, 124], [660, 149], [636, 151]]","[3.583005492268692, -177.98723149329538, -9.877369263306587, -4.134370206679914]"
458,5,"[[657, 117], [683, 115], [684, 142], [658, 143]]","[3.6012439623373758, -178.83132147393587, -14.127272759516716, -3.852627371190714]"
458,4,"[[507, 227], [518, 227], [518, 239], [507, 238]]","[6.865328511865168, 171.96071991669223, 49.09223438080341, -5.928619280432618]"
458,7,"[[432, 274], [432, 265], [442, 265], [441, 275]]","[8.039198762998303, 154.30695078724276, -8.15983645420346, -87.15964743533553]"
459,5,"[[679, 113], [707, 111], [707, 138], [680, 140]]","[3.6884399787415845, -178.03122694629997, -16.17619043358778, -4.686327789037243]"
460,5,"[[688, 111], [717, 109], [717, 137], [690, 139]]","[3.6178793563624425, -178.61097482817127, -17.74209620054883, -4.644637296318986]"
460,4,"[[532, 232], [543, 232], [543, 244], [532, 244]]","[6.761988733739549, 172.7396101655426, 8.263307736557849, 0.909750726288944]"
462,5,"[[699, 88], [731, 86], [730, 116], [700, 118]]","[3.4860842293736027, -179.3628738224878, -18.187354450321145, -3.8832266645148343]"
463,5,"[[695, 79], [727, 76], [727, 107], [697, 109]]","[3.410339880218058, -179.77703251416938, -18.385117885575127, -4.8577942501327165]"
463,4,"[[524, 212], [536, 212], [536, 225], [524, 225]]","[6.163132733677065, 174.13300211941635, 9.925298802058427, 0.4815095547128101]"
463,7,"[[447, 265], [447, 254], [457, 255], [457, 265]]","[7.278113306932173, 175.04232743007753, -22.132543395297937, -83.53513769885264]"
464,5,"[[698, 73], [731, 69], [732, 101], [700, 104]]","[3.3299784270232706, -179.413321611193, -18.403651287032858, -6.3278246518582435]"
464,7,"[[446, 272], [446, 261], [456, 261], [456, 271]]","[7.286841217692915, 176.99179175027572, -7.795841346034354, -90.08523687920734]"
465,5,"[[685, 82], [719, 79], [719, 112], [687, 115]]","[3.0974827320970597, -178.95721744327733, -17.887407757018725, -5.573705670692407]"
465,4,"[[505, 231], [517, 230], [518, 242], [505, 243]]","[6.248666593449604, 143.1091710497445, 37.52647029083536, -11.907006584341293]"
466,5,"[[745, 59], [781, 55], [782, 91], [746, 94]]","[0.0027202380039193803, -171.18899612123698, -66.7878432963226, 10.804684216996016]"
466,4,"[[548, 218], [561, 218], [561, 231], [548, 231]]","[6.268491604444115, 177.76563601582637, 17.40840248949618, -1.2344519015350108]"
467,5,"[[762, 38], [800, 34], [801, 72], [763, 76]]","[3.1504148134543137, 178.97098940425926, -22.556389796427766, -5.759705765354048]"
467,4,"[[556, 207], [569, 207], [569, 220], [555, 220]]","[6.156898339280343, 150.3359743563293, 56.273649121291584, -11.35964393083098]"
467,7,"[[474, 264], [473, 253], [483, 252], [484, 263]]","[7.097151528158957, 178.1682829889985, -15.075737818478784, -92.03486943519351]"
468,5,"[[778, 22], [819, 18], [820, 59], [779, 63]]","[3.024573952220379, 178.00539891796083, -23.038194981629122, -5.120475003286452]"
468,7,"[[472, 271], [472, 260], [482, 259], [483, 271]]","[6.811004955529774, 129.87187337566795, -17.364030886595135, -87.95632877716163]"
469,4,"[[562, 202], [575, 200], [576, 216], [563, 216]]","[5.4978617398918175, 136.1207801318378, 71.99392130415534, -38.09133575582676]"
470,4,"[[504, 212], [517, 211], [519, 225], [504, 226]]","[5.5618413146335115, 155.89143360766047, 34.23888034793878, -9.039819551184548]"
471,4,"[[498, 209], [512, 208], [513, 222], [498, 223]]","[5.330474312320048, 148.3841246089831, 36.44583822548247, -9.16214619722569]"
471,7,"[[413, 276], [411, 264], [422, 263], [423, 275]]","[6.315619042427802, -166.9851427807291, -21.01147176291999, -93.66057646482578]"
475,4,"[[527, 205], [542, 205], [542, 221], [527, 221]]","[5.015396363697188, 175.31315635156795, 12.000825387348115, 0.07073120850754287]"
475,7,"[[435, 272], [435, 259], [447, 259], [447, 272]]","[5.930946175897866, -179.51762273102838, -15.458043528577969, -87.04075689288327]"
476,4,"[[535, 218], [550, 217], [551, 233], [535, 234]]","[5.005231761996285, 148.20150675685647, 53.9875063904203, -18.008228139044828]"
476,7,"[[441, 286], [442, 273], [453, 273], [454, 286]]","[5.975763985252672, 179.35016526895538, -18.165394109252734, -86.32119531777035]"
478,4,"[[506, 220], [523, 219], [523, 235], [506, 236]]","[4.58886891991915, -169.63428792263662, 20.891272803672027, -5.0235105874117565]"
478,7,"[[408, 291], [408, 278], [421, 277], [422, 291]]","[5.649099873454212, 156.32707711283322, -24.583817728002344, -86.9854565360382]"
479,4,"[[494, 215], [511, 215], [512, 231], [495, 232]]","[4.745048803475025, 161.37564609925138, 27.40023521825879, -5.176740125402076]"
479,7,"[[396, 289], [396, 276], [409, 275], [410, 289]]","[5.623047476071823, 157.78381525351193, -24.185676442244944, -87.57531937547282]"
480,4,"[[479, 232], [496, 232], [496, 249], [479, 250]]","[4.429516079978248, 175.12243539489566, 12.460269076109798, -1.6024871695027634]"
480,7,"[[380, 310], [379, 297], [393, 295], [394, 309]]","[5.635848064861942, 162.9466619344929, -27.54298538486473, -91.35691907731959]"
481,4,"[[476, 238], [493, 236], [494, 254], [476, 255]]","[4.314464761710689, 145.2741462973614, 38.23771575538029, -13.561204775586383]"
482,4,"[[467, 193], [485, 192], [486, 210], [468, 212]]","[4.117700759964127, 179.73498353414817, 11.425493903600927, -4.758048562930289]"
483,4,"[[462, 202], [480, 202], [480, 221], [462, 221]]","[4.058828642044076, 173.20011000982933, 8.154481655945853, 0.47818941224430006]"
483,7,"[[356, 279], [356, 265], [371, 265], [371, 280]]","[4.9950469844583125, 163.30650855941784, -1.2620433926376537, -91.26091185270627]"
484,10,"[[899, 213], [912, 210], [912, 251], [898, 252]]","[3.5738758807562503, 4.872252707201618, 39.04148702654347, -166.69980121143513]"
484,4,"[[467, 214], [485, 214], [485, 233], [467, 234]]","[3.9575107425718463, 174.7271870028213, 3.718416688303663, -0.0452697437179079]"
